depth,opponent,flatmc_wr%,avg_turns,time_sec,cq%,cs%,tb%
10,AlwaysWhite,59.0,139.4,4.3,54,0,5
10,Builder,40.0,203.4,7.7,40,0,0
10,Rusher,84.0,171.7,7.0,66,0,18
10,StateAware,64.0,163.3,8.8,64,0,0
12,AlwaysWhite,82.0,130.8,11.2,78,0,4
12,Builder,56.0,169.8,10.9,56,0,0
12,Rusher,86.0,173.6,11.9,58,0,28
12,StateAware,80.0,141.6,15.2,80,0,0
16,AlwaysWhite,93.0,131.3,9.3,85,1,7
16,Builder,74.0,152.1,9.6,73,0,1
16,Rusher,98.0,163.2,17.6,64,0,34
16,StateAware,84.0,137.1,7.0,82,2,0
2,AlwaysWhite,1.0,94.7,3.7,1,0,0
2,Builder,0.0,250.0,9.8,0,0,0
2,Rusher,47.0,246.7,11.9,0,0,47
2,StateAware,2.0,114.0,7.0,2,0,0
20,AlwaysWhite,91.0,134.0,12.3,81,3,7
20,Builder,85.0,133.0,22.0,84,1,0
20,Rusher,90.0,180.9,23.9,47,0,43
20,StateAware,83.0,124.0,20.9,80,3,0
24,AlwaysWhite,93.0,153.1,17.9,82,5,6
24,Builder,92.0,131.7,38.0,90,1,1
24,Rusher,94.0,188.9,21.1,44,0,50
24,StateAware,91.0,126.9,19.2,88,2,1
3,AlwaysWhite,2.0,96.4,6.6,2,0,0
3,Builder,0.0,248.1,17.0,0,0,0
3,Rusher,46.0,247.8,16.7,2,0,44
3,StateAware,8.0,117.7,10.8,8,0,0
4,AlwaysWhite,6.0,99.2,4.8,6,0,0
4,Builder,0.0,244.2,21.5,0,0,0
4,Rusher,42.0,246.9,16.1,4,0,38
4,StateAware,6.0,118.4,9.2,6,0,0
5,AlwaysWhite,8.0,101.9,5.7,8,0,0
5,Builder,0.0,243.8,24.4,0,0,0
5,Rusher,38.0,247.1,17.4,4,0,34
5,StateAware,9.0,119.7,7.7,9,0,0
6,AlwaysWhite,13.0,103.8,5.6,13,0,0
6,Builder,0.0,244.3,22.6,0,0,0
6,Rusher,51.0,238.8,16.1,13,0,38
6,StateAware,13.0,120.8,5.7,13,0,0
8,AlwaysWhite,60.0,132.6,3.9,58,0,2
8,Builder,38.0,210.0,7.7,38,0,0
8,Rusher,76.0,183.9,6.2,62,0,14
8,StateAware,66.0,163.2,5.3,66,0,0
